Username,Sprint,Worked,Billed,Planned,2019-10-7,2019-10-8,2019-10-9,2019-10-10,2019-10-11,2019-10-12,2019-10-13,2019-10-14,2019-10-15,2019-10-16,2019-10-17,2019-10-18,2019-10-19,2019-10-20,2019-10-21,2019-10-22,2019-10-23,2019-10-24,2019-10-25,2019-10-26,2019-10-27,2019-10-28,2019-10-29,2019-10-30,2019-10-31,2019-11-1,2019-11-2,2019-11-3,2019-11-4,2019-11-5,2019-11-6
josem,11,160,160,0,8,8,0,0,0,0,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,0,8,8,0,0,8,8,8,8,8
josem,12,160,160,0,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,0
josem,13,104,104,0,8,8,8,8,0,0,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8
josem,14,164,164,0,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,0,8,8,8,4,0
josem,15,92,92,0,8,8,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,8,0,0,8,8,8
josem,16,158.5,158.5,0,8,8,0,0,8,8,8,0,0,0,0,8,8,8,8,8,0,0,8,8,8,8,6.5,0,0,8,8,8,8,8,0
josem,17,176,176,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8
josem,18,168,168,0,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,0,0,0,0,8,8,8,8,8,0,0,8,8,8,8,8
josem,19,168,168,0,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8
josem,20,140.5,140.5,0,8,8,8,8,0,0,0,8,8,8,8,0,0,0,8,8,0,0,0,0,0,8,8,8,8,0,0,8,4.5,8,8
josem,21,88,88,0,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
josem,22,176,176,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,0,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8
josem,23,172.5,172.5,0,0,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,9,3.5
josem,24,139,139,0,0,8,8,8,8,8,0,0,8,9,9,8,8,0,0,8,8,8,8,9,0,0,0,0,0,0,0,0,0,8,8
josem,25,128,128,0,8,8,8,0,0,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,8,8,8,8,8
josem,26,144,144,0,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,0,8,0,8,8,0,0,8,8,8,8,8,0,0,0
josem,27,136,136,0,0,0,0,0,0,0,0,8,8,8,8,0,0,8,8,8,0,8,0,0,8,8,8,8,8,0,0,8,8,8,8
josem,28,164,164,0,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,4,8,8,8,8,0,0
