Issue Key,Issue summary,Work date,Hours,Username,Period,Account Key,Account Name,Account Lead,Account Category,Account Customer,Activity Name,Component,All Components,Version Name,Issue Type,Issue Status,Project Key,Epic,Epic Link,Work Description,Parent Key,Reporter,External Hours,Billed Hours,Issue Original Estimate,Issue Remaining Estimate,,,
JUSTIT-1988,"Adminclient > Search ""Suche in Search-Logs"" does not run any more",2019-10-28,5.5,emmanuel,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,analyzing. testing.,,stefan,0,5.5,,0,,,
JUSTIT-1914,Introduce the Grouping feature in the Search Module,2019-10-29,0.5,emmanuel,,,,,,,client-app,client-app,client-app,,Improvement,Closed,JUSTIT,,,meeting with Lorenzo. Checking the issue on Test environment.,,stefan,0,0.5,,0,,,
JUSTIT-1901,If a Schritt is read only all the zone 4 elements has to be read only,2019-10-29,2,ramon,,,,,,,client-app,client-app,client-app,,Improvement,Closed,JUSTIT,,,Dev,,stefan,0,2,,0,,,
JUSTIT-1964,Two or more addresses with AD_IS_SHIPPING_ADDRESS_JN = true,2019-10-29,4.5,emmanuel,,,,,,,JUSTIT,,,,Improvement,Closed,JUSTIT,,,dev. testing.,,neva,0,4.5,,0,,,
JUSTIT-890,Copy Address/Communication from one entity to the other,2019-10-29,2,emmanuel,,,,,,,JUSTIT,,,,New Feature,Closed,JUSTIT,,,dev. testing,,simon,0,2,,0,,,
JUSTIT-1992,"Schriftgut (open text document) ""Geburtsdatum"" and ""Postfach""",2019-10-28,3,ignacio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,Changes and tests,,neva,0,3,,0,,,
JUSTIT-2004,External Favourite Provider could not check favourite status,2019-10-29,1.5,ignacio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,Testing,,simon,0,1.5,,0,,,
JUSTIT-2002,"Favorit > Alle > a Geschäft is showed, but this Geschäft has not set a Favorit",2019-10-29,2.5,isabel,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,Delete information for the database.,,stefan,0,2.5,,0,,,
JUSTIT-1927,The grid Beziehungen is not keep the configuration,2019-10-29,2,sergio,,,,,,,client-app,client-app,client-app,,Bug,Closed,JUSTIT,,,Knowledge transfer and task approach to Ramon,,stefan,0,2,,0,,,
JUSTIT-2001,"""Aufbewahrungsfrist"" fills wrong ""Datum bis"" (date to)",2019-10-29,1,sergio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,Dev,,neva,0,1,,0,,,
